DELIVERY_DATE,TYPE_OF_RESERVES,PRODUCT,ENERGY_PRICE_[EUR/MWh],OFFERED_CAPACITY_[MW],ALLOCATED_CAPACITY_[MW],COUNTRY
2024-09-01,aFRR,NEG_001,1455.11,5,5,DE
2024-09-01,aFRR,NEG_001,1472.31,1,1,DE
2024-09-01,aFRR,NEG_001,1497.38,1,1,DE
2024-09-01,aFRR,NEG_001,1498.0,1,1,DE
2024-09-01,aFRR,NEG_001,1498.0,1,1,DE
2024-09-01,aFRR,NEG_001,1498.0,1,1,DE
2024-09-01,aFRR,NEG_001,1527.56,5,5,DE
2024-09-01,aFRR,NEG_001,1600.0,6,6,DE
2024-09-01,aFRR,NEG_001,1600.0,7,7,DE
2024-09-01,aFRR,NEG_001,1600.0,5,5,DE
2024-09-01,aFRR,NEG_001,1600.0,5,5,DE
2024-09-01,aFRR,NEG_001,1662.6,1,1,DE
2024-09-01,aFRR,NEG_001,1700.0,4,4,DE
2024-09-01,aFRR,NEG_001,1852.89,1,1,DE
2024-09-01,aFRR,NEG_001,2000.0,5,5,DE
2024-09-01,aFRR,NEG_001,2000.0,5,5,DE
2024-09-01,aFRR,NEG_001,2043.19,1,1,DE
2024-09-01,aFRR,NEG_001,2047.08,5,5,DE
2024-09-01,aFRR,NEG_001,2217.67,5,5,DE
2024-09-01,aFRR,NEG_001,2233.48,1,1,DE
2024-09-01,aFRR,NEG_001,2388.26,5,5,DE
2024-09-01,aFRR,NEG_001,3396.0,1,1,DE
2024-09-01,aFRR,NEG_001,4362.0,1,1,DE
2024-09-01,aFRR,NEG_001,4979.0,3,3,DE
2024-09-01,aFRR,NEG_001,4990.0,5,5,DE
2024-09-01,aFRR,NEG_001,5150.0,1,1,DE
2024-09-01,aFRR,NEG_001,5180.0,1,1,DE
2024-09-01,aFRR,NEG_001,5219.0,1,1,DE
2024-09-01,aFRR,NEG_001,5325.0,1,1,DE
2024-09-01,aFRR,NEG_001,5500.0,1,1,DE
2024-09-01,aFRR,NEG_001,5675.0,1,1,DE
2024-09-01,aFRR,NEG_001,5850.0,1,1,DE
2024-09-01,aFRR,NEG_001,5998.0,1,1,DE
2024-09-01,aFRR,NEG_001,6025.0,1,1,DE
2024-09-01,aFRR,NEG_001,6200.0,1,1,DE
2024-09-01,aFRR,NEG_001,6285.0,1,1,DE
2024-09-01,aFRR,NEG_001,6375.0,1,1,DE
2024-09-01,aFRR,NEG_001,6550.0,1,1,DE
2024-09-01,aFRR,NEG_001,6725.0,1,1,DE
2024-09-01,aFRR,NEG_001,6816.0,1,1,DE
2024-09-01,aFRR,NEG_001,6817.0,3,3,DE
2024-09-01,aFRR,NEG_001,6900.0,1,1,DE
2024-09-01,aFRR,NEG_001,7075.0,1,1,DE
2024-09-01,aFRR,NEG_001,7250.0,1,1,DE
2024-09-01,aFRR,NEG_001,7351.0,1,1,DE
2024-09-01,aFRR,NEG_001,7425.0,1,1,DE
2024-09-01,aFRR,NEG_001,7600.0,1,1,DE
2024-09-01,aFRR,NEG_001,7634.0,1,1,DE
2024-09-01,aFRR,NEG_001,7775.0,1,1,DE
2024-09-01,aFRR,NEG_001,7950.0,1,1,DE
2024-09-01,aFRR,NEG_001,8125.0,1,1,DE
2024-09-01,aFRR,NEG_001,8300.0,1,1,DE
2024-09-01,aFRR,NEG_001,8417.0,1,1,DE
2024-09-01,aFRR,NEG_001,8438.0,3,3,DE
2024-09-01,aFRR,NEG_001,8452.0,1,1,DE
2024-09-01,aFRR,NEG_001,8475.0,1,1,DE
2024-09-01,aFRR,NEG_001,8650.0,1,1,DE
2024-09-01,aFRR,NEG_001,8825.0,1,1,DE
2024-09-01,aFRR,NEG_001,9000.0,1,1,DE
2024-09-01,aFRR,NEG_001,9151.0,1,1,DE
2024-09-01,aFRR,NEG_001,9175.0,1,1,DE
2024-09-01,aFRR,NEG_001,9211.0,1,1,DE
2024-09-01,aFRR,NEG_001,9270.0,1,1,DE
2024-09-01,aFRR,NEG_001,9350.0,1,1,DE
2024-09-01,aFRR,NEG_001,9483.0,1,1,DE
2024-09-01,aFRR,NEG_001,9525.0,1,1,DE
2024-09-01,aFRR,NEG_001,9700.0,1,1,DE
2024-09-01,aFRR,NEG_001,9999.0,3,3,DE
2024-09-01,aFRR,NEG_001,10059.0,3,3,DE
2024-09-01,aFRR,NEG_001,10089.0,1,1,DE
2024-09-01,aFRR,NEG_001,10119.0,1,1,DE
2024-09-01,aFRR,NEG_001,10548.0,1,1,DE
2024-09-01,aFRR,NEG_001,10907.0,1,1,DE
2024-09-01,aFRR,NEG_001,11087.0,1,1,DE
2024-09-01,aFRR,NEG_001,11614.0,1,1,DE
2024-09-01,aFRR,NEG_001,11680.0,3,3,DE
2024-09-01,aFRR,NEG_001,11725.0,1,1,DE
2024-09-01,aFRR,NEG_001,12056.0,1,1,DE
2024-09-01,aFRR,NEG_001,12543.0,1,1,DE
2024-09-01,aFRR,NEG_001,12680.0,1,1,DE
2024-09-01,aFRR,NEG_001,13024.0,1,1,DE
2024-09-01,aFRR,NEG_001,13301.0,3,3,DE
2024-09-01,aFRR,NEG_001,13361.0,1,1,DE
2024-09-01,aFRR,NEG_001,13746.0,1,1,DE
